BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,ADU/Legalization Units,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BMR Reporting Year,BlockLot,PPTS Project ID
2.00209E+11,159 PANAMA ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,4/4/2005,4/4/2005,0,0,0,0,0,1,FALSE,7,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,5/5/2004,5/17/2004,RH-1,,2005,7178011,2003.0219
2.00503E+11,170 FAIRMOUNT ST,FOR ADMINISTRATIVE PURPOSES TO ESTABLISH LEGAL USE AS SINGLE FAMILY DWELLING PER ASSESSOR'S RECORDS.,1,1,0,-1,-1,0,4/6/2005,4/6/2005,0,0,0,0,0,-1,FALSE,8,Glen Park,7 - Central,,3,Full Building Permit,4/6/2005,4/6/2005,RH-2,,2005,6663015A,
2.00501E+11,68 DIVISADERO ST,COMPLY WITH NOV #199815272 TO RESTORE USE TO 3 DWELLING UNITS.,3,3,4,1,1,0,4/7/2005,4/7/2005,0,0,0,0,0,1,FALSE,8,Castro/Upper Market,6 - Buena Vista,,8,Full Building Permit,1/7/2005,1/7/2005,RH-3,,2005,2611032,
2.00503E+11,2212 CASTRO ST,DEMOLISH A SINGLE FAMILY  OF 2 STORIES.,1,0,0,-1,-1,0,4/7/2005,4/7/2005,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,3/4/2005,3/4/2005,RH-2,,2005,7536034,
2.00112E+11,355 20TH AV,TO ERECT 4 STORY 3 DWELLING BUILDING,0,3,3,3,3,0,4/8/2005,4/8/2005,0,0,0,0,0,3,FALSE,1,Outer Richmond,1 - Richmond,,2,Site Permit,11/20/2003,11/21/2003,RM-1,,2005,1452011,
2.00504E+11,414 27TH ST,FOR ADMINISTRATIVE PURPOSES TO ESTABLISH LEGAL USE & OCCUPANCY FROM 2 FAMILY TO SINGLE FAMILY DWELLI,1,1,0,-1,-1,0,4/8/2005,4/8/2005,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,8,Full Building Permit,4/5/2005,4/5/2005,RH-2,,2005,6580011,
9418404,75 LAFAYETTE ST,VERTICAL / HORIZONTAL,1,2,2,1,1,0,4/8/2005,4/8/2005,0,0,0,0,0,1,FALSE,6,Mission,8 - Mission,Western SoMa (EN),3,Full Building Permit,5/1/1995,5/1/1995,RED,,2005,3511052,
2.00212E+11,1336 18TH AV,"REMODEL TO EXISTING HOUSE, NEW 3RD STORY, PROPOSED 2 UNITS",1,2,2,1,1,0,4/11/2005,4/11/2005,0,0,0,0,0,1,FALSE,7,Inner Sunset,14 - Inner Sunset,,3,Site Permit,12/5/2003,12/5/2003,RH-2,,2005,1772004H,2003.0393
2.00503E+11,428 CORTLAND AV,FOR RECORD KEEPING PURPOSES TO ESTABLISH LEGAL USE AND OCCUPANCY. 2 DWELLING UNITS AND COMMERCIAL,2,2,4,2,2,0,4/11/2005,4/11/2005,0,0,0,0,0,2,FALSE,9,Bernal Heights,11 - Bernal Heights,,3,Full Building Permit,4/6/2005,4/6/2005,NCD-CORTLAND AVENUE,,2005,5678029,
2.00203E+11,1150 COLUMBUS AV,ERECT 4 S TORY 48-UNIT APARTMENT BUILDING,0,48,48,48,48,0,4/13/2005,4/13/2005,0,0,0,0,0,48,FALSE,3,North Beach,3 - Northeast,,2,Site Permit,9/19/2002,11/5/2002,RM-3,,2005,0043001,
